score,is_answered,owner_rep,owner_accept_rate,title_len,body_length,num_codeblocks,len_codeblocks,code/text,num_tags
2,True,1154,83,105,2166,0,0,0.0,5
3,False,31,0,42,6048,0,0,0.0,4
9,True,1698,0,85,2022,24,558,0.27596439169139464,4
8,True,2449,75,81,1432,5,66,0.046089385474860335,3
9,True,393,0,47,665,6,71,0.10676691729323308,1
4,True,289,0,57,284,0,0,0.0,3
1,True,11,0,81,602,0,0,0.0,5
6,False,2656,0,94,6208,0,0,0.0,4
3,False,818,50,39,1333,6,29,0.02175543885971493,5
2,True,1042,0,73,460,0,0,0.0,3
2,True,21,0,46,519,0,0,0.0,2
1,True,557,0,102,1154,0,0,0.0,5
1,True,172,0,53,278,0,0,0.0,4
2,False,104,0,45,1241,0,0,0.0,3
1,False,19,0,69,3346,0,0,0.0,5
5,True,1806,0,50,2760,3,28,0.010144927536231883,3
1,True,463,0,86,1142,1,15,0.013134851138353765,4
1,False,11,0,73,320,0,0,0.0,1
7,True,407,0,67,979,4,172,0.17568947906026558,3
4,True,1565,0,86,807,0,0,0.0,4
1,True,183,0,128,2173,0,0,0.0,4
1,False,769,76,38,746,0,0,0.0,1
3,True,3393,43,57,673,0,0,0.0,1
4,True,53,0,91,752,0,0,0.0,3
2,True,31,0,48,896,1,43,0.04799107142857143,1
1,True,207,0,55,656,4,30,0.04573170731707317,3
1,True,1669,80,49,3070,2,16,0.005211726384364821,2
-1,True,299,58,89,1119,0,0,0.0,3
3,True,51,0,78,1843,0,0,0.0,5
2,False,421,0,50,1088,3,63,0.057904411764705885,4
1,True,32331,89,67,2090,3,42,0.020095693779904306,3
2,False,1771,69,50,3420,9,2916,0.8526315789473684,5
2,True,347,70,86,2671,0,0,0.0,3
3,True,2687,75,72,6379,2,72,0.01128703558551497,5
1,False,23,0,42,388,4,115,0.2963917525773196,4
1,True,3894,0,53,916,0,0,0.0,2
-1,True,69,0,42,406,0,0,0.0,2
3,False,61,0,144,4951,1,14,0.002827711573419511,4
3,True,183,0,99,921,0,0,0.0,5
2,True,39,0,72,694,0,0,0.0,2
1,True,33,0,53,1050,0,0,0.0,4
7,True,8920,87,62,690,3,46,0.06666666666666667,3
1,False,11,0,75,682,1,170,0.24926686217008798,5
2,True,47,0,37,895,0,0,0.0,1
3,True,127,0,54,229,0,0,0.0,3
2,True,2454,68,70,481,1,11,0.02286902286902287,2
3,True,19722,69,90,3675,15,138,0.037551020408163265,1
1,True,21,0,60,871,0,0,0.0,5
2,True,23,0,61,3389,1,147,0.043375627028622014,3
7,True,135,0,76,317,6,120,0.3785488958990536,4
1,False,1455,0,89,1848,2,38,0.020562770562770564,1
2,True,41,0,48,427,0,0,0.0,2
1,True,13,0,48,2481,0,0,0.0,3
1,True,18102,92,51,863,7,131,0.15179606025492468,4
1,False,1467,58,54,1034,9,169,0.16344294003868473,4
2,False,21,0,57,6246,0,0,0.0,5
